County,Population,Population Change Since 2014,Median Age,Population Under Age 18,Population Aged 65+,Veteran Population,Agricultural Land,Percent Change in Ag Land since 2017,Number of Farms,Percent Change in Num of Farms since 2017,Broadband Internet Access 2022 ,Broadband Internet Access 2019 ,Computing Device Access 2022 ,Computing Device Access 2019 ,Percent Children in Poverty,Average Weekly Wage,Per Capita Income 2022,Gross Domestic Product 2022,Gross Domestic Product 2021,Pre-K Enrollment 2023,Pre-K Enrollment 2022,K-12 Current Expense Funding per pupil,Total Funding for K-12,Opportunity Youth 2022,Opportunity Youth 2019,Adults Without a High School Diploma,Educational Attainment,Food Insecurity 2022,Food Insecurity 2021,Traditional Medicaid Enrollment %,Medicaid Expansion Enrollment %,Uninsured Residents 2021,Uninsured Residents 2020,"ER visits for Drug Overdose Per 100,000","Overdose Deaths Per 100,000",Property Tax Rates 2024,Property Tax Rates 2023,Property Tax Levy Per Capita,Taxable Property Valuation Per Capita,Sales Taxes
Martin,20952,-2355,47.08,0.199,0.2707,0.07,143806,0.02,286,-0.1386,0.78,0.68,0.74,0.72,0.293,726,42553,428,417,0.8073,0.5906,2104,6.15,0.1857,0.1668,0.1269,0.4274,0.17,0.139,0.4031,0.1141,0.135,0.123,472,49,0.81,0.81,824.3,101770,0.07
McDowell,44601,63,44.57,0.1859,0.2257,0.0659,17041,-0.259,298,-0.1051,0.8,0.73,0.76,0.74,0.222,864,43983,630,653,0.8519,0.966,1773,9.61,0.182,0.1814,0.1244,0.4079,0.168,0.137,0.35,0.1071,0.145,0.132,129,45.9,0.5675,0.5675,818,144136,0.0675
Mecklenburg,1190000,178869,37.82,0.2209,0.1332,0.0437,7704,-0.3401,165,-0.2361,0.92,0.88,0.89,0.88,0.141,1630,76441,129565,127497,0.2792,0.2967,3652,596.92,0.1006,0.1001,0.0888,0.6739,0.118,0.091,0.2764,0.0718,0.127,0.122,160,28.5,0.4831,0.4731,1165.7,246397,0.0725
Mitchell,14751,-399,44.05,0.1793,0.2466,0.0611,13860,-0.0636,263,0.052,0.79,0.72,0.74,0.71,0.217,917,43990,496,536,0,0.5313,1280,2.17,0.0552,0.0552,0.0487,0.4073,0.167,0.138,0.3065,0.0857,0.137,0.13,94,33.4,0.56,0.56,944.3,168628,0.0675
Montgomery,25516,-1117,40.97,0.2082,0.2277,0.0613,34560,0.031,210,-0.125,0.76,0.69,0.71,0.68,0.24,914,46774,1093,1051,1.205,1.0484,1730,6,0.1181,0.1803,0.1227,0.3767,0.16,0.126,0.3874,0.108,0.169,0.163,217,62.6,0.615,0.615,920.5,149667,0.07
Moore,111001,19381,47.28,0.199,0.2809,0.0925,106258,0.1889,802,0.0941,0.88,0.82,0.87,0.82,0.13,999,62886,4014,3867,0.1551,0.1439,2420,34.85,0.118,0.1482,0.0633,0.6431,0.131,0.104,0.2037,0.0648,0.117,0.121,158,49.6,0.31,0.33,669,202739,0.07
Nash,97793,3999,42.8,0.2024,0.2125,0.056,133252,0.0291,375,-0.1176,0.82,0.77,0.76,0.75,0.214,989,50715,5119,5135,0.661,0.7039,1426,21.38,0.1836,0.1607,0.1131,0.4367,0.142,0.116,0.3516,0.0988,0.139,0.133,163,43.5,0.63,0.67,628.8,93844,0.0675
New Hanover,242708,29145,39.8,0.172,0.1908,0.0648,1898,1.1593,60,0.0169,0.91,0.85,0.9,0.88,0.155,1132,60943,15237,14803,0.6775,0.6562,3567,95.98,0.0919,0.1081,0.0583,0.6511,0.141,0.117,0.212,0.0734,0.111,0.126,79,39.7,0.45,0.45,952.3,211622,0.07
Northampton,15867,-4193,38.62,0.1929,0.2007,0.0807,171478,0.0077,257,-0.0551,0.63,0.53,0.66,0.61,0.293,913,47614,506,529,0.8556,0.8678,1598,3.78,0.2497,0.2642,0.1001,0.395,0.147,0.127,0.4321,0.1046,0.117,0.115,62,10.3,0.83,0.835,1418.9,169929,0.0675
Onslow,214782,22409,25.44,0.3169,0.1048,0.1553,53032,0.0107,342,0.0059,0.91,0.87,0.89,0.87,0.162,857,51585,9039,9099,0.3191,0.3453,N/A, N/A ,0.1427,0.1064,0.0498,0.4597,0.157,0.134,0.2597,0.076,0.107,0.112,139,46.5,0.655,0.655,650,99240,0.07
Orange,151635,11045,38.07,0.156,0.1771,0.0386,53068,-0.2409,687,0.0015,0.92,0.88,0.92,0.91,0.114,1442,77568,9679,9308,0.7203,0.8892,5344,102.94,0.0467,0.0425,0.0521,0.8079,0.123,0.095,0.1515,0.0387,0.1,0.087,74,24.2,0.8629,0.8353,1271.9,152267,0.075
Pamlico,12139,-568,50.4,0.1441,0.313,0.1129,54675,0.2638,81,-0.19,0.83,0.74,0.77,0.77,0.274,683,52301,288,297,1.2432,1.234,2787,4.51,0.1853,0.1365,0.0666,0.3178,0.151,0.123,0.2746,0.0831,0.148,0.144,244,102.2,0.645,0.625,1038.5,166160,0.0675
Pasquotank,40933,1398,37.8,0.2181,0.1752,0.093,95870,0.3283,133,0.0556,0.87,0.79,0.82,0.78,0.228,920,47234,1609,1589,0.9056,0.7004,2150,11.36,0.0982,0.1247,0.0746,0.4671,0.133,0.109,0.3289,0.0899,0.112,0.132,201,35.2,0.62,0.62,680.5,109760,0.07
Pender,69485,14550,42.27,0.1956,0.1973,0.076,78903,0.2236,354,0.0536,0.86,0.79,0.84,0.83,0.139,869,49887,1777,1749,1.2092,0.9012,2321,25.04,0.1072,0.1215,0.0908,0.5122,0.138,0.111,0.2751,0.0632,0.133,0.124,70,36.5,0.7375,0.7375,1048.6,142179,0.0675
Perquimans,13209,-151,47.16,0.1748,0.2905,0.0991,78264,-0.0256,137,-0.0805,0.81,0.73,0.8,0.76,0.23,820,53355,284,286,0.973,0.75,2061,3.39,0.0985,0.1243,0.0903,0.3814,0.155,0.123,0.3121,0.0823,0.125,0.119,89,66.8,0.52,0.64,936.1,146262,0.0675
Person,39272,615,43.09,0.1998,0.2198,0.0554,88571,0.0776,364,-0.0738,0.85,0.79,0.78,0.79,0.203,926,45304,1537,1473,0.6411,0.5826,2247,11.95,0.1718,0.1778,0.0828,0.4209,0.157,0.134,0.3248,0.0851,0.122,0.122,175,25.3,0.7225,0.7225,1001,138546,0.0675
